Student_ID,Full_Name,Date_Of_Birth,Gender,Email,Phone,Department_ID,Major,Enrollment_Date,Status,Dropout_Date,total_invoices_count,total_tuition_billed,total_tuition_paid,total_remaining_debt,scholarship_total,late_fee_total,total_payments_count,successful_payments_count,failed_payments_count,avg_payment_amount,payment_completion_rate,payment_failure_rate,has_overdue_debt,target_is_dropped_out,target_high_debt_risk
STU000011,An Đức Trần,2003-02-21,Male,janele@example.net,019497011,DEP008,Kỹ thuật xây dựng,2021-05-23,Active,,4,63462000,45520000,35543000,13547000,2036000,5,5,0,9104000.0,0.7172796,0.0,1,0,0
STU000012,Lâm Hải Nguyễn,2007-02-20,Other,duongjohn@example.net,013160948,DEP003,Quản trị kinh doanh,2020-05-31,Active,,3,56527000,69058000,22296000,4581000,107000,3,3,0,23019334.0,1.2216817,0.0,1,0,0
STU000013,Khoa Thị Trần,1999-09-28,Other,john72@example.net,0148802926,DEP003,Quản trị kinh doanh,2025-06-28,Active,,2,31886000,16555000,15331000,0,2625000,2,2,0,8277500.0,0.51919335,0.0,1,0,0
STU000014,Nhật Đức Dương,2004-06-10,Male,janenguyen@example.org,0098379192,DEP001,Công nghệ thông tin,2024-11-20,Active,,1,24968000,13963000,11005000,2774000,0,1,1,0,13963000.0,0.5592358,0.0,1,0,0
STU000015,Phương Lê,2007-07-23,Male,janeduong@example.com,0903295451,DEP005,Luật,2024-10-20,Dropped Out,2026-10-24,1,16863000,15522000,1341000,16863000,0,2,2,0,7761000.0,0.9204768,0.0,1,1,0
STU000016,Hồng Nguyễn,1999-05-29,Other,upham@example.com,008902993,DEP009,Công nghệ sinh học,2021-11-25,Suspended,,4,99184000,97333000,51542000,3132000,1169000,5,5,0,19466600.0,0.9813377,0.0,1,0,0
STU000017,Quý Cô Bảo Dương,2003-03-13,Male,johnduong@example.com,0035790308,DEP010,Chưa phân ngành,2022-03-04,Graduated,,1,23021000,12672000,10349000,7674000,0,1,1,0,12672000.0,0.55045396,0.0,1,0,0
STU000018,Thảo Lê,2006-07-24,Other,jane90@example.net,0518957717,DEP001,Công nghệ thông tin,2023-06-16,Active,,1,11571000,17437000,0,11570000,0,2,2,0,8718500.0,1.506957,0.0,0,0,0
STU000019,Cô An Lê,2000-12-21,Female,john94@example.com,050639308,DEP011,Truyền thông,2025-05-24,Active,,5,80732000,45271000,51751000,7344000,0,2,2,0,22635500.0,0.56075656,0.0,1,0,0
STU000020,Anh Trọng Nguyễn,2004-08-11,Male,dangjohn@example.net,018880193,DEP010,Du lịch - Khách sạn,2025-08-13,Active,,3,42807000,73326000,6183000,11844000,0,6,6,0,12221000.0,1.7129441,0.0,1,0,0
STU000021,Hưng Đức Vũ,2004-12-06,Female,johntran@example.net,013247305,DEP012,Khoa học dữ liệu,2022-04-16,Active,,2,23126000,23008000,723000,22172000,954000,3,3,0,7669333.5,0.99489754,0.0,1,0,0
STU000022,Trọng Đức Phạm,2006-04-22,Female,jane60@example.net,069088426,DEP004,Kinh tế,2025-05-28,Active,,1,7211000,0,7211000,7212000,0,0,0,0,0.0,0.0,0.0,1,0,0
STU000023,Bác Trung Đặng,2007-02-24,Male,gduong@example.net,0263466006,DEP009,Công nghệ sinh học,2023-03-18,Active,,2,22453000,12040000,10413000,8246000,0,1,1,0,12040000.0,0.5362312,0.0,1,0,0
STU000024,Hoàng Thế Trần,2004-05-13,Female,johnbui@example.net,097312805,DEP009,Công nghệ sinh học,2025-05-05,Active,,2,49456000,36498000,24061000,0,0,2,2,0,18249000.0,0.7379893,0.0,1,0,0
STU000025,Cô Hải Hoàng,2001-05-30,Other,john47@example.net,0670835926,DEP011,Truyền thông,2025-07-25,Suspended,,3,32431000,3431000,29000000,14532000,0,1,1,0,3431000.0,0.10579384,0.0,1,0,0
STU000026,Chị Chi Mai,2005-08-20,Other,tmai@example.net,0218470921,DEP012,Khoa học dữ liệu,2021-03-12,Dropped Out,2022-09-16,2,29973000,0,29973000,13556000,0,1,0,0,13044000.0,0.0,0.0,1,1,0
STU000027,Dũng Mai,2002-08-13,Male,vhoang@example.net,039702694,DEP008,Kỹ thuật xây dựng,2021-04-15,Active,,1,21131000,20446000,685000,2348000,0,1,1,0,20446000.0,0.9675832,0.0,1,0,0
STU000028,Hồng Nguyễn,1998-12-23,Female,janepham@example.org,014030964,DEP005,Luật,2023-10-04,Graduated,,3,65748000,34233000,31515000,8112000,0,5,3,1,14902400.0,0.5206698,0.2,1,0,1
STU000029,Anh Khoa Phạm,1999-02-25,Female,hoangjohn@example.org,0242266650,DEP012,Khoa học dữ liệu,2020-10-15,Active,,3,68695000,14484000,54211000,7857000,1436000,2,2,0,7242000.0,0.21084504,0.0,1,0,0
STU000030,Hương Đặng,2002-05-02,Female,jane36@example.net,0407193852,DEP006,Ngoại ngữ,2021-03-23,Graduated,,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0
STU000031,Lâm Hoàng,2001-07-19,Other,cdang@example.org,026231070,DEP011,Truyền thông,2019-10-22,Graduated,,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0
STU000032,Kim Quang Vũ,2001-09-26,Other,adang@example.org,0386337986,DEP012,Khoa học dữ liệu,2022-03-29,Graduated,,1,12355000,9905000,2450000,12355000,0,1,1,0,9905000.0,0.8016997,0.0,1,0,0
STU000033,Nhật Bùi,2001-10-30,Female,janevu@example.net,0287501002,DEP001,Công nghệ thông tin,2024-09-26,Graduated,,2,42836000,42048000,1853000,3237000,0,3,3,0,14016000.0,0.9816043,0.0,1,0,0
STU000034,Linh Dương,2002-02-26,Other,janehoang@example.net,006507975,DEP010,Du lịch - Khách sạn,2023-02-13,Active,,1,20780000,17165000,3615000,0,0,1,1,0,17165000.0,0.82603467,0.0,1,0,0
STU000035,Quý Cô An Nguyễn,1998-04-30,Other,nguyenjohn@example.org,0058603064,DEP004,Kinh tế,2025-03-25,Active,,3,51934000,13188000,38746000,16760000,1655000,1,1,0,13188000.0,0.2539377,0.0,1,0,0
STU000036,Chị Duyên Trần,2001-10-14,Other,hoangjohn@example.net,0240506127,DEP002,Tài chính - Kế toán,2020-10-09,Graduated,,2,39665000,35521000,9977000,2763000,0,5,3,0,13090000.0,0.89552504,0.0,1,0,0
STU000037,Anh Châu Nguyễn,2001-05-06,Female,duongjohn@example.org,084031941,DEP009,Công nghệ sinh học,2022-06-10,Dropped Out,2024-01-16,2,34121000,45529000,0,5182000,968000,8,5,1,11425500.0,1.3343395,0.125,0,1,0
STU000038,Cô Vi Bùi,2006-05-05,Other,jane13@example.net,0955334853,DEP004,Kinh tế,2021-07-17,Active,,2,42102000,39393000,14796000,0,0,4,2,1,14332250.0,0.93565625,0.25,1,0,0
STU000039,Trọng Thế Mai,2004-08-06,Female,duongjane@example.com,0868321913,DEP010,Du lịch - Khách sạn,2020-10-24,Active,,2,25035000,12408000,12627000,2318000,1092000,1,1,0,12408000.0,0.49562612,0.0,1,0,0
STU000040,Quang Vũ,1998-02-18,Other,john44@example.com,0246343458,DEP008,Kỹ thuật xây dựng,2023-05-04,Suspended,,2,31928000,5648000,26280000,10643000,0,1,1,0,5648000.0,0.17689802,0.0,1,0,0
STU000041,Hạnh Nguyễn,2006-09-21,Female,janeduong@example.net,046357394,DEP008,Kỹ thuật xây dựng,2022-06-11,Dropped Out,2023-05-29,2,56594000,74051000,975000,2386000,649000,4,4,0,18512750.0,1.3084602,0.0,1,1,0
STU000042,Bà Hồng Trần,2003-09-30,Male,buijane@example.com,0279173073,DEP003,Quản trị kinh doanh,2021-12-19,Active,,3,54594000,55519000,33736000,12350000,2788000,4,4,0,13879750.0,1.0169432,0.0,1,0,0
STU000043,Bác Vũ Nguyễn,1999-08-20,Female,jane21@example.com,070987439,DEP010,Du lịch - Khách sạn,2021-02-25,Active,,4,68085000,17178000,50907000,19187000,681000,2,2,0,8589000.0,0.25230226,0.0,1,0,0
STU000044,Nhiên Xuân Trần,2001-11-21,Male,duongjohn@example.com,0756219736,DEP008,Kỹ thuật xây dựng,2021-01-03,Active,,3,69060000,13597000,55463000,2718000,0,3,2,1,7203333.5,0.19688676,0.33333334,1,0,1
STU000045,Huy Thế Dương,2003-02-09,Male,dangjohn@example.com,0727509375,DEP010,Du lịch - Khách sạn,2023-08-05,Suspended,,3,53493000,116564000,7046000,4640000,0,10,7,2,16323300.0,2.1790514,0.2,1,0,0
STU000046,Dũng Tấn Dương,1999-04-15,Male,cpham@example.com,0582260648,DEP007,Kỹ thuật điện,2019-12-10,Active,,3,53349000,25128000,28221000,13054000,0,2,2,0,12564000.0,0.47101164,0.0,1,0,0
STU000047,An Thế Hoàng,2007-04-05,Male,sbui@example.org,028663268,DEP006,Ngoại ngữ,2021-01-21,Active,,3,67198000,86708000,5921000,3000000,0,6,6,0,14451333.0,1.290336,0.0,1,0,0
STU000048,Thành Bảo Đặng,2003-01-02,Male,ynguyen@example.net,0349740865,DEP010,Du lịch - Khách sạn,2023-01-22,Active,,1,20877000,0,20877000,0,0,0,0,0,0.0,0.0,0.0,1,0,0
STU000049,Hà Hoàng,2007-01-06,Male,john56@example.com,0400814586,DEP002,Tài chính - Kế toán,2020-10-22,Dropped Out,2021-08-06,2,34940000,13195000,26542000,2949000,0,2,2,0,6597500.0,0.3776474,0.0,1,1,0
STU000050,Anh Minh Nguyễn,2007-02-08,Other,janele@example.org,069183967,DEP001,Công nghệ thông tin,2020-01-16,Active,,2,49534000,64693000,3682000,5384000,788000,4,4,0,16173250.0,1.3060322,0.0,1,0,0
STU000051,Yến Trần,1998-12-20,Female,jane06@example.com,099257744,DEP001,Công nghệ thông tin,2020-05-11,Active,,2,38678000,24694000,15866000,5288000,0,2,2,0,12347000.0,0.6384508,0.0,1,0,0
STU000052,Châu Đức Hoàng,2003-10-02,Female,nduong@example.org,0996931235,DEP011,Truyền thông,2019-08-11,Active,,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0
STU000053,Dũng Lê,1999-05-10,Female,pvu@example.net,064410908,DEP010,Du lịch - Khách sạn,2019-12-26,Dropped Out,2021-04-02,2,29817000,10907000,18910000,10869000,1287000,2,2,0,5453500.0,0.36579803,0.0,1,1,0
STU000054,Quý Cô Lâm Trần,2003-09-29,Other,btran@example.com,088374470,DEP003,Chưa phân ngành,2019-09-01,Active,,2,32653000,14806000,17847000,0,0,1,1,0,14806000.0,0.4534346,0.0,1,0,0
STU000055,Quý Cô Bảo Bùi,2007-04-19,Female,tranjane@example.net,027456486,DEP001,Công nghệ thông tin,2021-04-28,Active,,4,90179000,53604000,40103000,32512000,2118000,4,4,0,13401000.0,0.59441775,0.0,1,0,0
STU000056,Quý Ông Khoa Vũ,2002-04-06,Female,jane76@example.com,098852826,DEP010,Du lịch - Khách sạn,2025-09-10,Active,,5,83618000,62351000,24037000,3411000,1282000,6,5,0,11526833.0,0.74566483,0.0,1,0,0
STU000057,Duyên Trần,2006-09-13,Other,johnmai@example.org,079714091,DEP012,Khoa học dữ liệu,2022-09-11,Active,,2,33148000,0,33148000,1978000,0,0,0,0,0.0,0.0,0.0,1,0,0
STU000058,Ngọc Hoàng,1999-10-24,Other,john61@example.net,0047354918,DEP004,Kinh tế,2024-03-21,Dropped Out,2024-11-10,2,39799000,48814000,2334000,2309000,0,3,3,0,16271333.0,1.2265133,0.0,1,1,0
STU000059,Thành Mai Bảo Trần,2004-11-14,Male,jane91@example.org,0447256094,DEP001,Công nghệ thông tin,2021-10-09,Active,,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0
STU000060,Phúc Hoàng,2007-10-04,Other,john79@example.net,046289961,DEP010,Du lịch - Khách sạn,2021-02-06,Graduated,,2,41431000,14169000,32920000,8510000,0,2,2,0,7084500.0,0.3419903,0.0,1,0,0
STU000061,Quang Thị Hoàng,2003-02-16,Female,vujane@example.org,0003571399,DEP003,Quản trị kinh doanh,2021-08-09,Active,,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0
STU000062,Cô Dương Nguyễn,2006-09-24,Male,wnguyen@example.net,0560436537,DEP003,Quản trị kinh doanh,2019-08-30,Active,,1,18723000,0,18723000,1937000,1293000,0,0,0,0.0,0.0,0.0,1,0,0
STU000063,Bà Lâm Mai,1998-11-02,Other,johnle@example.org,018603062,DEP010,Du lịch - Khách sạn,2023-04-10,Active,,1,4076000,0,4076000,4076000,0,0,0,0,0.0,0.0,0.0,1,0,0
STU000064,Hà Vũ,2000-04-29,Other,phamjane@example.com,000925205,DEP001,Công nghệ thông tin,2023-12-11,Active,,3,54691000,64253000,5324000,10361000,0,5,5,0,12850600.0,1.1748368,0.0,1,0,0
STU000065,Vân Mai,2004-03-19,Other,john57@example.net,036649735,DEP008,Kỹ thuật xây dựng,2025-09-04,Graduated,,2,55117000,108904000,21047000,0,831000,5,4,0,24721800.0,1.9758695,0.0,1,0,0
STU000066,Mai Mai,2005-03-05,Other,jane10@example.org,019025653,DEP001,Công nghệ thông tin,2021-05-24,Active,,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0
STU000067,Vi Phạm,1999-10-15,Other,dangjohn@example.org,056774508,DEP012,Khoa học dữ liệu,2021-12-18,Graduated,,1,26456000,0,26456000,0,0,0,0,0,0.0,0.0,0.0,1,0,0
STU000068,Anh Dương,2004-07-18,Male,buijohn@example.org,012501809,DEP007,Kỹ thuật điện,2021-06-16,Graduated,,2,38578000,32491000,6097000,0,0,3,3,0,10830333.0,0.8422158,0.0,1,0,0
STU000069,Hồng Nguyễn,2007-06-08,Female,johnnguyen@example.com,0108180521,DEP012,Khoa học dữ liệu,2020-10-20,Graduated,,3,55161000,28072000,27089000,23126000,415000,3,3,0,9357333.0,0.5089103,0.0,1,0,0
STU000070,Bảo Bảo Lê,2003-08-07,Other,janebui@example.net,0234363687,DEP001,Công nghệ thông tin,2020-02-20,Active,,6,116898000,41327000,75571000,26952000,621000,3,3,0,13775667.0,0.35353044,0.0,1,0,0
STU000071,Bác Hưng Trần,1998-03-20,Female,tranjohn@example.com,085451979,DEP001,Chưa phân ngành,2021-11-12,Active,,2,42198000,0,42198000,3193000,646000,0,0,0,0.0,0.0,0.0,1,0,0
STU000072,Khoa Bùi,2007-03-26,Other,vtran@example.org,0097923971,DEP003,Quản trị kinh doanh,2022-08-17,Active,,2,23810000,11391000,12419000,22441000,1368000,1,1,0,11391000.0,0.47841242,0.0,1,0,0
STU000073,Quang Xuân Bùi,2007-07-15,Other,jane12@example.net,016479254,DEP001,Công nghệ thông tin,2019-11-20,Active,,2,57699000,0,57699000,3260000,131000,0,0,0,0.0,0.0,0.0,1,0,0
STU000074,Quý Ông Nhiên Mai,2004-05-26,Female,jane26@example.net,049383892,DEP002,Tài chính - Kế toán,2025-07-06,Graduated,,1,16751000,4606000,12145000,1861000,0,1,1,0,4606000.0,0.27496865,0.0,1,0,0
STU000075,Cô Nhật Nguyễn,1999-07-04,Other,snguyen@example.org,0178286181,DEP008,Kỹ thuật xây dựng,2025-02-18,Active,,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0
STU000076,Hạnh Lê,2000-05-27,Other,tranjohn@example.org,096897233,DEP002,Tài chính - Kế toán,2020-04-10,Active,,1,7675000,13562000,0,2149000,1228000,4,3,0,5223000.0,1.7670358,0.0,0,0,0
STU000077,Anh Tú Hoàng,1998-05-10,Female,maijohn@example.net,0828147669,DEP005,Luật,2022-06-07,Active,,2,49338000,18865000,32253000,1898000,0,3,2,0,8960333.0,0.38236248,0.0,1,0,0
STU000078,Bảo Trần,2000-08-23,Other,hdang@example.com,0679241401,DEP012,Khoa học dữ liệu,2021-09-21,Graduated,,2,49664000,0,49664000,1991000,0,0,0,0,0.0,0.0,0.0,1,0,0
STU000079,Nhiên Nguyễn,2005-08-09,Female,uvu@example.com,0348763391,DEP001,Công nghệ thông tin,2025-09-07,Graduated,,2,42442000,36824000,5618000,0,1076000,2,2,0,18412000.0,0.86763114,0.0,1,0,0
STU000080,Phương Mai Mai,2006-10-28,Other,jane69@example.com,0714487440,DEP011,Truyền thông,2021-10-19,Active,,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0
STU000081,Cô Thành Lê,2007-03-04,Male,jane96@example.com,0190632289,DEP001,Công nghệ thông tin,2023-02-08,Active,,3,61840000,25851000,35989000,30798000,0,3,2,1,15363000.0,0.4180304,0.33333334,1,0,1
STU000082,Vân Vũ,1998-04-11,Male,janeduong@example.org,0091467968,DEP011,Truyền thông,2025-04-30,Dropped Out,2027-02-09,1,8484000,7459000,1025000,0,0,1,1,0,7459000.0,0.87918437,0.0,1,1,0
STU000083,Quý Cô Bảo Phạm,2005-01-14,Male,johnle@example.net,016145925,DEP010,Du lịch - Khách sạn,2022-03-18,Active,,2,37357000,14764000,22593000,0,1495000,1,1,0,14764000.0,0.39521375,0.0,1,0,0
STU000084,Cô Lan Mai,2007-05-16,Other,sduong@example.com,0311586826,DEP005,Luật,2022-11-25,Active,,1,7900000,6867000,1033000,2634000,0,2,2,0,3433500.0,0.8692405,0.0,1,0,0
STU000085,Bác Quang Đặng,2005-05-19,Other,maijane@example.net,0277113748,DEP003,Quản trị kinh doanh,2020-05-02,Suspended,,2,45841000,19731000,32528000,0,0,2,2,0,9865500.0,0.43042254,0.0,1,0,0
STU000086,An Bùi,2000-06-20,Male,john42@example.org,023648399,DEP011,Truyền thông,2020-10-22,Graduated,,1,7241000,3584000,3657000,2414000,0,1,1,0,3584000.0,0.49495926,0.0,1,0,0
STU000087,Anh Nhiên Đặng,1998-02-28,Female,janetran@example.com,022244232,DEP005,Luật,2024-07-09,Active,,4,49637000,66080000,10070000,15345000,0,8,8,0,8260000.0,1.331265,0.0,1,0,0
STU000088,Hải Thế Trần,2007-10-21,Other,ndang@example.com,0779647815,DEP006,Ngoại ngữ,2025-03-24,Dropped Out,2026-01-20,1,8143000,11375000,0,0,0,2,2,0,5687500.0,1.3969053,0.0,0,1,0
STU000089,An Bùi,2002-08-14,Female,johntran@example.org,0449307842,DEP012,Khoa học dữ liệu,2025-03-12,Active,,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0
STU000090,Trung Đức Bùi,2004-07-11,Male,jane25@example.net,020349613,DEP001,Công nghệ thông tin,2024-04-19,Graduated,,5,99550000,32704000,74815000,12101000,2279000,6,4,1,12625000.0,0.32851833,0.16666667,1,0,1
STU000091,Chị Thảo Bùi,1999-11-04,Female,john85@example.com,0859146377,DEP011,Truyền thông,2025-04-08,Active,,2,43785000,4400000,39385000,5408000,0,1,1,0,4400000.0,0.10049104,0.0,1,0,0
STU000092,Phúc Tấn Lê,2001-09-08,Female,tle@example.org,0448721981,DEP008,Kỹ thuật xây dựng,2023-08-16,Active,,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0
STU000093,Bà Bảo Vũ,2000-01-21,Female,bbui@example.com,0190947036,DEP008,Kỹ thuật xây dựng,2025-04-22,Dropped Out,2025-12-08,3,32047000,12683000,19364000,24697000,780000,2,2,0,6341500.0,0.39576247,0.0,1,1,0
STU000094,Bà Kim Mai,2002-04-24,Male,nguyenjane@example.org,0261926730,DEP004,Kinh tế,2022-10-21,Active,,2,40971000,19528000,21443000,2700000,0,3,2,1,14085000.0,0.47662982,0.33333334,1,0,1
STU000095,Phúc Tấn Bùi,1999-08-29,Female,duongjane@example.net,0380939559,DEP001,Công nghệ thông tin,2024-02-21,Suspended,,3,45834000,31088000,35365000,3268000,1051000,4,3,0,9759250.0,0.6782738,0.0,1,0,0
STU000096,Chị Dương Hoàng,2005-08-29,Other,vujohn@example.net,0426668472,DEP002,Tài chính - Kế toán,2021-07-22,Active,,2,36186000,13855000,22331000,18713000,171000,1,1,0,13855000.0,0.3828829,0.0,1,0,0
STU000097,Bảo Hoàng,2000-01-02,Other,phamjane@example.net,015761097,DEP010,Chưa phân ngành,2024-09-11,Active,,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0
STU000098,Anh Mai,2004-09-02,Male,phamjohn@example.org,078904029,DEP011,Truyền thông,2020-03-21,Active,,1,10351000,0,10351000,0,0,0,0,0,0.0,0.0,0.0,1,0,0
STU000099,Quý Cô Hồng Phạm,2001-01-23,Female,pbui@example.net,0662808021,DEP001,Công nghệ thông tin,2023-01-27,Active,,1,11696000,10760000,936000,3898000,0,1,1,0,10760000.0,0.91997266,0.0,1,0,0
STU000100,Yến Trần,1998-08-23,Other,dvu@example.net,063962335,DEP010,Du lịch - Khách sạn,2023-10-10,Active,,2,43691000,50170000,13069000,0,0,3,3,0,16723333.0,1.1482915,0.0,1,0,0
STU000101,Ông Quang Hoàng,1999-06-01,Female,tranjohn@example.net,0265409638,DEP004,Kinh tế,2023-05-27,Active,,1,25522000,0,25522000,8508000,0,0,0,0,0.0,0.0,0.0,1,0,0
STU000102,Nam Hữu Lê,2002-11-03,Other,vujane@example.com,0468835855,DEP004,Kinh tế,2021-01-01,Active,,2,27585000,0,27585000,6864000,0,1,0,1,6484000.0,0.0,1.0,1,0,1
STU000103,Bác Nhiên Trần,2001-01-22,Other,hoangjane@example.com,0703015697,DEP012,Khoa học dữ liệu,2021-08-04,Active,,4,53958000,9488000,44470000,20627000,299000,1,1,0,9488000.0,0.17584047,0.0,1,0,0
STU000104,Khoa Hoàng Trần,1998-11-11,Female,yduong@example.net,0685122984,DEP008,Kỹ thuật xây dựng,2020-01-10,Dropped Out,2020-10-10,2,42564000,28954000,14348000,14348000,0,2,2,0,14477000.0,0.68024623,0.0,1,1,0
STU000105,Bác Huy Hoàng,2001-09-22,Other,jane37@example.net,031047730,DEP006,Ngoại ngữ,2025-02-14,Graduated,,3,81307000,51655000,29652000,9799000,0,3,3,0,17218334.0,0.63530815,0.0,1,0,0
STU000106,Anh Nhiên Đặng,2003-01-06,Male,fbui@example.net,0774665273,DEP007,Kỹ thuật điện,2021-11-18,Active,,2,43287000,4990000,38297000,17671000,1498000,1,1,0,4990000.0,0.115277104,0.0,1,0,0
STU000107,Anh Hữu Mai,2000-11-08,Other,janedang@example.net,035715592,DEP003,Quản trị kinh doanh,2023-12-19,Suspended,,2,27524000,37234000,9672000,5951000,0,3,3,0,12411333.0,1.3527831,0.0,1,0,0
STU000108,Trung Vũ,1998-02-20,Male,lejane@example.com,0328931373,DEP011,Truyền thông,2019-10-21,Active,,1,26773000,20083000,6690000,2975000,0,1,1,0,20083000.0,0.7501214,0.0,1,0,0
STU000109,Thành Đức Bùi,2002-07-08,Male,pdang@example.org,082770406,DEP005,Luật,2021-12-23,Active,,2,48041000,7796000,40245000,15739000,823000,1,1,0,7796000.0,0.16227806,0.0,1,0,0
STU000110,Bảo Bảo Dương,2005-02-25,Other,jane49@example.org,0324123752,DEP005,Luật,2019-10-06,Active,,4,83424000,72391000,30989000,6859000,1411000,4,4,0,18097750.0,0.8677479,0.0,1,0,0
STU000111,Chị Yến Trần,2003-04-20,Male,john53@example.com,067645492,DEP001,Công nghệ thông tin,2024-05-31,Active,,2,42191000,69809000,0,8448000,804000,6,5,0,16763333.0,1.6545945,0.0,0,0,0
STU000112,Lâm Phạm,2007-07-24,Other,johnhoang@example.net,0177998484,DEP012,Chưa phân ngành,2023-01-05,Active,,7,130333000,126704000,44789000,20673000,412000,9,9,0,14078222.0,0.9721559,0.0,1,0,0
STU000113,Cô Lâm Đặng,1999-04-14,Female,john16@example.org,033226549,DEP010,Du lịch - Khách sạn,2020-04-22,Dropped Out,2020-12-12,3,64538000,41582000,34597000,1643000,699000,2,2,0,20791000.0,0.6443026,0.0,1,1,0
STU000114,Nhiên Lê,2005-02-03,Female,nguyenjane@example.com,0806126982,DEP003,Quản trị kinh doanh,2022-11-02,Active,,2,37478000,0,37478000,1514000,772000,1,0,1,3774000.0,0.0,1.0,1,0,1
STU000115,An Mai Bùi,2004-06-09,Other,janenguyen@example.net,046740341,DEP007,Kỹ thuật điện,2023-11-09,Active,,4,50442000,10269000,43658000,17285000,1237000,2,2,0,5134500.0,0.20358035,0.0,1,0,0
STU000116,Quang Phú Dương,2001-07-31,Female,mmai@example.org,0659492294,DEP012,Khoa học dữ liệu,2019-10-14,Active,,5,129282000,19926000,109356000,18876000,1811000,3,2,0,13932667.0,0.15412818,0.0,1,0,0
STU000117,Quang Tấn Phạm,1999-02-09,Female,sle@example.com,005649671,DEP007,Kỹ thuật điện,2021-12-06,Active,,2,50229000,79990000,1968000,0,0,6,5,0,15034167.0,1.5925063,0.0,1,0,0
STU000118,Phương Mai Bùi,2007-03-31,Other,nguyenjohn@example.com,0703809154,DEP001,Công nghệ thông tin,2024-11-14,Active,,2,63260000,0,63260000,0,302000,1,0,1,23614000.0,0.0,1.0,1,0,1
STU000119,Anh Nam Hoàng,2000-01-07,Male,lejohn@example.org,091531294,DEP004,Kinh tế,2025-07-08,Dropped Out,2026-09-10,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0,1,0
STU000120,Cô An Nguyễn,2002-12-01,Male,jane02@example.net,0009030858,DEP004,Kinh tế,2024-06-07,Graduated,,4,64363000,14547000,49816000,0,375000,3,3,0,4849000.0,0.22601494,0.0,1,0,0
